fold,template_id,template_subject,real_pattern_urgency,pred_pattern_urgency,real_pattern_authority,pred_pattern_authority,real_pattern_credentials,pred_pattern_credentials,real_pattern_threat,pred_pattern_threat,real_pattern_validation,pred_pattern_validation,real_pattern_incentive,pred_pattern_incentive,real_pattern_curiosity,pred_pattern_curiosity,real_pattern_corporate_context,pred_pattern_corporate_context
1,1,Verificacion urgente de acceso institucional,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1
2,2,Entrega retenida - accion requerida,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1
3,3,Actividad inusual detectada en su perfil,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
4,4,Accion requerida: actualizacion de VPN corporativa,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
5,5,Documento compartido requiere revision inmediata,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
6,6,Confirmacion obligatoria de datos laborales,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1
7,7,Factura pendiente de validacion,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1
8,8,Restablecimiento de acceso a almacenamiento en la nube,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
9,9,Su buzon excedio el limite permitido,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1
10,10,Tiene un beneficio interno pendiente de confirmacion,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
11,11,Pago retenido por inconsistencia documental,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0
12,12,Renovacion obligatoria de credencial digital,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
13,16,Convocatoria abierta - CUBO_AI – Primera edición 2026,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
